,Code,Title,CRN,Course Time,Professor,WRIT,DIAP,FYS,SOPH,CBLR,CSE,Department,Course Code,Previous Professor,Previous Semester,Course Rating,Previous Professor Rating,Average Hours,Maximum Hours,Number of Respondents,Class Size,Same Professor
106,APMA 1200,Operations Research: Probabilistic Models,24779,TTh 2:30-3:50p,P. Lopatto,0,0,0,0,0,0,APMA,1200,L. Bienenstock,Spring 2001,4.28,4.57,,,16,21,False
107,APMA 1210,Operations Research: Deterministic Models,16026,TTh 10:30-11:50a,C. Klivans,0,0,0,0,0,0,APMA,1210,B. Rozovsky,Fall 2017,4.34,3.60,2.5,5.17,6,53,False
108,APMA 1210,Operations Research: Deterministic Models,16026,TTh 10:30-11:50a,C. Klivans,0,0,0,0,0,0,APMA,1210,Wang,Fall 2005,4.32,4.05,,,22,43,False
109,APMA 1210,Operations Research: Deterministic Models,16026,TTh 10:30-11:50a,C. Klivans,0,0,0,0,0,0,APMA,1210,Kutliroff,Fall 2001,3.87,4.13,,,10,17,False
110,APMA 1330,Applied Partial Differential Equations II,16027,TTh 2:30-3:50p,T. Yastrzhembskiy,0,0,0,0,0,0,APMA,1330,S. Geman,Fall 2019,4.53,4.82,4.8,10.3,10,10,False
111,APMA 1330,Applied Partial Differential Equations II,16027,TTh 2:30-3:50p,T. Yastrzhembskiy,0,0,0,0,0,0,APMA,1330,A. Matzavinos,Fall 2018,3.93,4.65,4.5,7.63,16,33,False
112,APMA 1330,Applied Partial Differential Equations II,16027,TTh 2:30-3:50p,T. Yastrzhembskiy,0,0,0,0,0,0,APMA,1330,B. Kunsberg,Fall 2015,4.23,4.61,7.4,12.1,10,13,False
113,APMA 1330,Applied Partial Differential Equations II,16027,TTh 2:30-3:50p,T. Yastrzhembskiy,0,0,0,0,0,0,APMA,1330,C. Su,Fall 2006,4.0,4.23,,,8,5,False
114,APMA 1360,Applied Dynamical Systems,24780,MWF 11-11:50a,M. Ivanov,0,0,0,0,0,0,APMA,1360,B. Sandstede,Spring 2017,4.7,4.96,4.66,8.97,32,52,False
115,APMA 1360,Applied Dynamical Systems,24780,MWF 11-11:50a,M. Ivanov,0,0,0,0,0,0,APMA,1360,Haller,Spring 1998,3.61,3.57,,,10,11,False
116,APMA 1650,Statistical Inference I,16029,MWF 11-11:50a,W. Zhao,0,0,0,0,0,0,APMA,1650,S. Punshon-Smith,Spring 2020,3.95,3.88,6.13,11.24,38,155,False
